idp_num,pheno,ukb_id,idp_short_name,cat_num,category,description,h2,h2_se
0001,0001,25001,IDP_T1_SIENAX_peripheral_grey_normalised_volume,1,regional and tissue volume,"Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)",0.259,0.0221
0002,0002,25002,IDP_T1_SIENAX_peripheral_grey_unnormalised_volume,1,regional and tissue volume,Volume of peripheral cortical grey matter (from T1 brain image),0.257,0.0217
0003,0003,25003,IDP_T1_SIENAX_CSF_normalised_volume,1,regional and tissue volume,"Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)",0.288,0.0238
0004,0004,25004,IDP_T1_SIENAX_CSF_unnormalised_volume,1,regional and tissue volume,Volume of ventricular cerebrospinal fluid (from T1 brain image),0.288,0.0239
0005,0005,25005,IDP_T1_SIENAX_grey_normalised_volume,1,regional and tissue volume,"Volume of grey matter (from T1 brain image, normalised for head size)",0.231,0.0219
0006,0006,25006,IDP_T1_SIENAX_grey_unnormalised_volume,1,regional and tissue volume,Volume of grey matter (from T1 brain image),0.227,0.0214
0007,0007,25007,IDP_T1_SIENAX_white_normalised_volume,1,regional and tissue volume,"Volume of white matter (from T1 brain image, normalised for head size)",0.291,0.0253
0008,0008,25008,IDP_T1_SIENAX_white_unnormalised_volume,1,regional and tissue volume,Volume of white matter (from T1 brain image),0.289,0.0255
0009,0009,25009,IDP_T1_SIENAX_brain-normalised_volume,1,regional and tissue volume,"Volume of brain, grey+white, from T1 brain image, normalised for head size",0.251,0.0242
0010,0010,25010,IDP_T1_SIENAX_brain-unnormalised_volume,1,regional and tissue volume,"Volume of brain, grey+white, from T1 brain image",0.249,0.024
0011,0011,25011,IDP_T1_FIRST_left_thalamus_volume,1,regional and tissue volume,Volume of left thalamus (from T1 brain image),0.257,0.0238
0012,0012,25012,IDP_T1_FIRST_right_thalamus_volume,1,regional and tissue volume,Volume of right thalamus (from T1 brain image),0.26,0.0233
0013,0013,25013,IDP_T1_FIRST_left_caudate_volume,1,regional and tissue volume,Volume of left caudate (from T1 brain image),0.345,0.0256
0014,0014,25014,IDP_T1_FIRST_right_caudate_volume,1,regional and tissue volume,Volume of right caudate (from T1 brain image),0.347,0.026
0015,0015,25015,IDP_T1_FIRST_left_putamen_volume,1,regional and tissue volume,Volume of left putamen (from T1 brain image),0.253,0.0245
0016,0016,25016,IDP_T1_FIRST_right_putamen_volume,1,regional and tissue volume,Volume of right putamen (from T1 brain image),0.288,0.026
0017,0017,25017,IDP_T1_FIRST_left_pallidum_volume,1,regional and tissue volume,Volume of left pallidum (from T1 brain image),0.214,0.0218
0018,0018,25018,IDP_T1_FIRST_right_pallidum_volume,1,regional and tissue volume,Volume of right pallidum (from T1 brain image),0.231,0.023
0019,0019,25019,IDP_T1_FIRST_left_hippocampus_volume,1,regional and tissue volume,Volume of left hippocampus (from T1 brain image),0.171,0.0189
0020,0020,25020,IDP_T1_FIRST_right_hippocampus_volume,1,regional and tissue volume,Volume of right hippocampus (from T1 brain image),0.167,0.0196
0021,0021,25021,IDP_T1_FIRST_left_amygdala_volume,1,regional and tissue volume,Volume of left amygdala (from T1 brain image),0.109,0.0158
0022,0022,25022,IDP_T1_FIRST_right_amygdala_volume,1,regional and tissue volume,Volume of right amygdala (from T1 brain image),0.0961,0.017
0023,0023,25023,IDP_T1_FIRST_left_accumbens_volume,1,regional and tissue volume,Volume of left accumbens (from T1 brain image),0.151,0.0163
0024,0024,25024,IDP_T1_FIRST_right_accumbens_volume,1,regional and tissue volume,Volume of right accumbens (from T1 brain image),0.178,0.0185
0025,0025,25025,IDP_T1_FIRST_brain_stem+4th_ventricle_volume,1,regional and tissue volume,Volume of brain stem + 4th ventricle (from T1 brain image),0.277,0.025
0026,0026,25782,IDP_T1_FAST_ROIs_L_frontal_pole,1,regional and tissue volume,Volume of grey matter in Left Frontal Pole,0.153,0.0167
0027,0027,25783,IDP_T1_FAST_ROIs_R_frontal_pole,1,regional and tissue volume,Volume of grey matter in Right Frontal Pole,0.208,0.0184
0028,0028,25784,IDP_T1_FAST_ROIs_L_insular_cortex,1,regional and tissue volume,Volume of grey matter in Left Insular Cortex,0.284,0.022
0029,0029,25785,IDP_T1_FAST_ROIs_R_insular_cortex,1,regional and tissue volume,Volume of grey matter in Right Insular Cortex,0.27,0.0218
0030,0030,25786,IDP_T1_FAST_ROIs_L_sup_front_gyrus,1,regional and tissue volume,Volume of grey matter in Left Superior Frontal Gyrus,0.137,0.0175
0031,0031,25787,IDP_T1_FAST_ROIs_R_sup_front_gyrus,1,regional and tissue volume,Volume of grey matter in Right Superior Frontal Gyrus,0.126,0.0166
0032,0032,25788,IDP_T1_FAST_ROIs_L_mid_front_gyrus,1,regional and tissue volume,Volume of grey matter in Left Middle Frontal Gyrus,0.157,0.0177
0033,0033,25789,IDP_T1_FAST_ROIs_R_mid_front_gyrus,1,regional and tissue volume,Volume of grey matter in Right Middle Frontal Gyrus,0.165,0.0166
0034,0034,25790,IDP_T1_FAST_ROIs_L_inf_front_gyrus_parstri,1,regional and tissue volume,"Volume of grey matter in Left Inferior Frontal Gyrus, pars triangularis",0.102,0.0161
0035,0035,25791,IDP_T1_FAST_ROIs_R_inf_front_gyrus_parstri,1,regional and tissue volume,"Volume of grey matter in Right Inferior Frontal Gyrus, pars triangularis",0.0477,0.0147
0036,0036,25792,IDP_T1_FAST_ROIs_L_inf_front_gyrus_parsop,1,regional and tissue volume,"Volume of grey matter in Left Inferior Frontal Gyrus, pars opercularis",0.0845,0.0212
0037,0037,25793,IDP_T1_FAST_ROIs_R_inf_front_gyrus_parsop,1,regional and tissue volume,"Volume of grey matter in Right Inferior Frontal Gyrus, pars opercularis",0.0728,0.0145
0038,0038,25794,IDP_T1_FAST_ROIs_L_precentral_gyrus,1,regional and tissue volume,Volume of grey matter in Left Precentral Gyrus,0.147,0.0177
0039,0039,25795,IDP_T1_FAST_ROIs_R_precentral_gyrus,1,regional and tissue volume,Volume of grey matter in Right Precentral Gyrus,0.161,0.0182
0040,0040,25796,IDP_T1_FAST_ROIs_L_temporal_pole,1,regional and tissue volume,Volume of grey matter in Left Temporal Pole,0.198,0.0197
0041,0041,25797,IDP_T1_FAST_ROIs_R_temporal_pole,1,regional and tissue volume,Volume of grey matter in Right Temporal Pole,0.196,0.0187
0042,0042,25798,IDP_T1_FAST_ROIs_L_sup_temp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Left Superior Temporal Gyrus, anterior division",0.136,0.0235
0043,0043,25799,IDP_T1_FAST_ROIs_R_sup_temp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Right Superior Temporal Gyrus, anterior division",0.121,0.0165
0044,0044,25800,IDP_T1_FAST_ROIs_L_sup_temp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Left Superior Temporal Gyrus, posterior division",0.117,0.0152
0045,0045,25801,IDP_T1_FAST_ROIs_R_sup_temp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Right Superior Temporal Gyrus, posterior division",0.167,0.0174
0046,0046,25802,IDP_T1_FAST_ROIs_L_mid_temp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Left Middle Temporal Gyrus, anterior division",0.12,0.0166
0047,0047,25803,IDP_T1_FAST_ROIs_R_mid_temp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Right Middle Temporal Gyrus, anterior division",0.148,0.0228
0048,0048,25804,IDP_T1_FAST_ROIs_L_mid_temp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Left Middle Temporal Gyrus, posterior division",0.161,0.0188
0049,0049,25805,IDP_T1_FAST_ROIs_R_mid_temp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Right Middle Temporal Gyrus, posterior division",0.156,0.0199
0050,0050,25806,IDP_T1_FAST_ROIs_L_mid_temp_gyrus_tempocc,1,regional and tissue volume,"Volume of grey matter in Left Middle Temporal Gyrus, temporooccipital part",0.083,0.0166
0051,0051,25807,IDP_T1_FAST_ROIs_R_mid_temp_gyrus_tempocc,1,regional and tissue volume,"Volume of grey matter in Right Middle Temporal Gyrus, temporooccipital part",0.109,0.0161
0052,0052,25808,IDP_T1_FAST_ROIs_L_inf_temp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Left Inferior Temporal Gyrus, anterior division",0.149,0.0172
0053,0053,25809,IDP_T1_FAST_ROIs_R_inf_temp_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Right Inferior Temporal Gyrus, anterior division",0.15,0.0172
0054,0054,25810,IDP_T1_FAST_ROIs_L_inf_temp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Left Inferior Temporal Gyrus, posterior division",0.138,0.0201
0055,0055,25811,IDP_T1_FAST_ROIs_R_inf_temp_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Right Inferior Temporal Gyrus, posterior division",0.162,0.0167
0056,0056,25812,IDP_T1_FAST_ROIs_L_inf_temp_gyrus_tempocc,1,regional and tissue volume,"Volume of grey matter in Left Inferior Temporal Gyrus, temporooccipital part",0.16,0.0182
0057,0057,25813,IDP_T1_FAST_ROIs_R_inf_temp_gyrus_tempocc,1,regional and tissue volume,"Volume of grey matter in Right Inferior Temporal Gyrus, temporooccipital part",0.158,0.0178
0058,0058,25814,IDP_T1_FAST_ROIs_L_postcent_gyrus,1,regional and tissue volume,Volume of grey matter in Left Postcentral Gyrus,0.131,0.0162
0059,0059,25815,IDP_T1_FAST_ROIs_R_postcent_gyrus,1,regional and tissue volume,Volume of grey matter in Right Postcentral Gyrus,0.133,0.0177
0060,0060,25816,IDP_T1_FAST_ROIs_L_sup_parietal_lobule,1,regional and tissue volume,Volume of grey matter in Left Superior Parietal Lobule,0.0785,0.0142
0061,0061,25817,IDP_T1_FAST_ROIs_R_sup_parietal_lobule,1,regional and tissue volume,Volume of grey matter in Right Superior Parietal Lobule,0.0574,0.0143
0062,0062,25818,IDP_T1_FAST_ROIs_L_supramarg_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Left Supramarginal Gyrus, anterior division",0.0882,0.017
0063,0063,25819,IDP_T1_FAST_ROIs_R_supramarg_gyrus_ant,1,regional and tissue volume,"Volume of grey matter in Right Supramarginal Gyrus, anterior division",0.0948,0.0166
0064,0064,25820,IDP_T1_FAST_ROIs_L_supramarg_gyrus_post,1,regional and tissue volume,"Volume of grey matter in Left Supramarginal Gyrus, posterior division",0.0943,0.015
